,studyName,gridLine,gridStation,stationID,lat,lon,gridCode
0,Sampling Grid,000,000,000.000,-68.96746,-73.56079,1
1,Sampling Grid,000,020,000.020,-68.83033,-73.87995,1
2,Sampling Grid,000,040,000.040,-68.69264,-74.19518000000001,1
3,Sampling Grid,000,060,000.060,-68.55442,-74.50655,1
4,Sampling Grid,000,080,000.080,-68.41566,-74.81411999999999,1
5,Sampling Grid,000,100,000.100,-68.27638,-75.11795,1
6,Sampling Grid,000,120,000.120,-68.1366,-75.4181,1
7,Sampling Grid,000,140,000.140,-67.99632,-75.71462,1
8,Sampling Grid,000,160,000.160,-67.85556,-76.00758,1
9,Sampling Grid,000,180,000.180,-67.71432,-76.29703,1
10,Sampling Grid,000,200,000.200,-67.57263,-76.58303000000001,1
11,Sampling Grid,000,220,000.220,-67.42147,-76.8656,1
12,Sampling Grid,100,000,100.000,-68.37991,-71.70503000000001,1
13,Sampling Grid,100,020,100.020,-68.24631,-72.02745999999999,1
14,Sampling Grid,100,040,100.040,-68.11211,-72.34614,1
15,Sampling Grid,100,060,100.060,-67.97735,-72.66112,1
16,Sampling Grid,100,080,100.080,-67.84201999999999,-72.97245,1
17,Sampling Grid,100,100,100.100,-67.70613,-73.28018,1
18,Sampling Grid,100,120,100.120,-67.56971999999999,-73.58438000000001,1
19,Sampling Grid,100,140,100.140,-67.43276999999999,-73.88508,1
20,Sampling Grid,100,160,100.160,-67.29531,-74.18235,1
21,Sampling Grid,100,180,100.180,-67.15734,-74.47622,1
22,Sampling Grid,100,200,100.200,-67.01889,-74.76675999999999,1
23,Sampling Grid,100,220,100.220,-66.87474,-75.05398000000001,1
24,Sampling Grid,200,000,200.000,-67.77199,-69.94445,1
25,Sampling Grid,200,020,200.020,-67.64183,-70.26883000000001,1
26,Sampling Grid,200,040,200.040,-67.51106,-70.58963,1
27,Sampling Grid,200,060,200.060,-67.37969,-70.9069,1
28,Sampling Grid,200,080,200.080,-67.24772,-71.22069,1
29,Sampling Grid,200,100,200.100,-67.11518000000001,-71.53105,1
30,Sampling Grid,200,120,200.120,-66.98207,-71.83802,1
31,Sampling Grid,200,140,200.140,-66.84841,-72.14165,1
32,Sampling Grid,200,160,200.160,-66.7142,-72.44197,1
33,Sampling Grid,200,180,200.180,-66.57947,-72.73904,1
34,Sampling Grid,200,200,200.200,-66.44421,-73.0329,1
35,Sampling Grid,200,220,200.220,-66.3056,-73.32358,1
36,Sampling Grid,300,000,300.000,-67.14538,-68.27433,1
37,Sampling Grid,300,020,300.020,-67.01858,-68.5995,1
38,Sampling Grid,300,040,300.040,-66.89115,-68.92126999999999,1
39,Sampling Grid,300,060,300.060,-66.76309,-69.2397,1
40,Sampling Grid,300,080,300.080,-66.63441999999999,-69.55481999999999,1
41,Sampling Grid,300,100,300.100,-66.50514,-69.86668,1
42,Sampling Grid,300,120,300.120,-66.37528,-70.1753,1
43,Sampling Grid,300,140,300.140,-66.24483000000001,-70.48074,1
44,Sampling Grid,300,160,300.160,-66.11381999999999,-70.78303000000001,1
45,Sampling Grid,300,180,300.180,-65.98225,-71.0822,1
46,Sampling Grid,300,200,300.200,-65.85014,-71.3783,1
47,Sampling Grid,300,220,300.220,-65.71606,-71.67135999999999,1
48,Sampling Grid,400,000,400.000,-66.50166999999999,-66.68984,1
49,Sampling Grid,400,020,400.020,-66.37814,-67.0148,1
50,Sampling Grid,400,040,400.040,-66.25395,-67.33657,1
51,Sampling Grid,400,060,400.060,-66.12911,-67.65517,1
52,Sampling Grid,400,080,400.080,-66.00364,-67.97065,1
53,Sampling Grid,400,100,400.100,-65.87755,-68.28302,1
54,Sampling Grid,400,120,400.120,-65.75085,-68.59233,1
55,Sampling Grid,400,140,400.140,-65.62354,-68.89860999999999,1
56,Sampling Grid,400,160,400.160,-65.49565,-69.2019,1
57,Sampling Grid,400,180,400.180,-65.36718,-69.50222,1
58,Sampling Grid,400,200,400.200,-65.23815,-69.79961,1
59,Sampling Grid,400,220,400.220,-65.1079,-70.0941,1
60,Sampling Grid,500,000,500.000,-65.84233,-65.18611999999999,1
61,Sampling Grid,500,020,500.020,-65.72195,-65.51006,1
62,Sampling Grid,500,040,500.040,-65.60089,-65.83098000000001,1
63,Sampling Grid,500,060,500.060,-65.47918,-66.14891999999999,1
64,Sampling Grid,500,080,500.080,-65.35682,-66.46391,1
65,Sampling Grid,500,100,500.100,-65.23382,-66.77597,1
66,Sampling Grid,500,120,500.120,-65.11018,-67.08511999999999,1
67,Sampling Grid,500,140,500.140,-64.98594,-67.39141,1
68,Sampling Grid,500,160,500.160,-64.86108,-67.69485999999999,1
69,Sampling Grid,500,180,500.180,-64.73563,-67.99549,1
70,Sampling Grid,500,200,500.200,-64.6096,-68.29334,1
71,Sampling Grid,500,220,500.220,-64.48273,-68.58843,1
72,Sampling Grid,600,000,600.000,-65.16869,-63.75841,1
73,Sampling Grid,600,020,600.020,-65.05136,-64.08062,1
74,Sampling Grid,600,040,600.040,-64.93333,-64.4,1
75,Sampling Grid,600,060,600.060,-64.81464,-64.71656999999999,1
76,Sampling Grid,600,080,600.080,-64.69528000000001,-65.03036,1
77,Sampling Grid,600,100,600.100,-64.57526999999999,-65.34139,1
78,Sampling Grid,600,120,600.120,-64.45461,-65.64968,1
79,Sampling Grid,600,140,600.140,-64.33333,-65.95526,1
80,Sampling Grid,600,160,600.160,-64.21141999999999,-66.25815,1
81,Sampling Grid,600,180,600.180,-64.0889,-66.55838,1
82,Sampling Grid,600,200,600.200,-63.96578,-66.85597,1
83,Sampling Grid,600,220,600.220,-63.842,-67.15094,1
84,Sampling Grid,700,000,700.000,-64.48201999999999,-62.402069999999995,1
85,Sampling Grid,700,020,700.020,-64.36761,-62.72197,1
86,Sampling Grid,700,040,700.040,-64.25251,-63.03921999999999,1
87,Sampling Grid,700,060,700.060,-64.13672,-63.35383,1
88,Sampling Grid,700,080,700.080,-64.02026,-63.66582,1
89,Sampling Grid,700,100,700.100,-63.903130000000004,-63.97521999999999,1
90,Sampling Grid,700,120,700.120,-63.78535,-64.28203,1
91,Sampling Grid,700,140,700.140,-63.66693000000001,-64.5863,1
92,Sampling Grid,700,160,700.160,-63.547869999999996,-64.88802,1
93,Sampling Grid,700,180,700.180,-63.4282,-65.18723,1
94,Sampling Grid,700,200,700.200,-63.3079,-65.48395,1
95,Sampling Grid,700,220,700.220,-63.18699,-65.77819000000001,1
96,Sampling Grid,800,000,800.000,-63.78346,-61.11261,1
97,Sampling Grid,800,020,800.020,-63.671859999999995,-61.429730000000006,1
98,Sampling Grid,800,040,800.040,-63.55956,-61.74436,1
99,Sampling Grid,800,060,800.060,-63.446569999999994,-62.05651999999999,1
100,Sampling Grid,800,080,800.080,-63.33289,-62.36622,1
101,Sampling Grid,800,100,800.100,-63.21855,-62.673480000000005,1
102,Sampling Grid,800,120,800.120,-63.10354,-62.97832,1
103,Sampling Grid,800,140,800.140,-62.987880000000004,-63.28075,1
104,Sampling Grid,800,160,800.160,-62.87157,-63.58079,1
105,Sampling Grid,800,180,800.180,-62.75464,-63.87846,1
106,Sampling Grid,800,200,800.200,-62.637080000000005,-64.17378000000001,1
107,Sampling Grid,800,220,800.220,-62.51891,-64.46675,1
108,Sampling Grid,900,000,900.000,-63.07408,-59.885769999999994,1
109,Sampling Grid,900,020,900.020,-62.96516999999999,-60.199709999999996,1
110,Sampling Grid,900,040,900.040,-62.85555,-60.51133000000001,1
111,Sampling Grid,900,060,900.060,-62.74524,-60.82063,1
112,Sampling Grid,900,080,900.080,-62.63425,-61.12763,1
113,Sampling Grid,900,100,900.100,-62.522569999999995,-61.43234,1
114,Sampling Grid,900,120,900.120,-62.410230000000006,-61.73478000000001,1
115,Sampling Grid,900,140,900.140,-62.297219999999996,-62.03495,1
116,Sampling Grid,900,160,900.160,-62.183569999999996,-62.33288,1
117,Sampling Grid,900,180,900.180,-62.069280000000006,-62.628569999999996,1
118,Sampling Grid,900,200,900.200,-61.95436,-62.92204,1
119,Sampling Grid,900,220,900.220,-61.838809999999995,-63.21331,1
